id	artist
851	Andrew Bird
903	Airileke and Rize of the Morning Star
889	Australian Ukulele Show
612	Beth Hart
845	Billy Bragg
866	Billy Bragg and Joe Henry
806	Blind Boy Paxton
465	Bonnie Raitt
323	Booker T presents The Stax Revue
96	Buddy Guy
895	Busby Marou
871	The California Honeydrops
858	Corinne Bailey Rae
883	Courtney Barnett
879	Davy Knowles
613	Devon Allman Band
591	The Doobie Brothers
856	Dumpstaphunk
885	Ellis Hall
874	Eric Gales
904	Emily Wurramara
876	Experience Jimi Hendrix
907	eXcelsior
859	Gallant
878	Glenn Cardier and the Sideshow
846	Gregory Porter
817	Irish Mythen
890	IVY
908	Jannawi Dance Clan
73	Jake Shimabukuro
342	Jethro Tull
72	Jeff Lang
413	Jimmy Buffett
853	Joan Osborne
341	Kasey Chambers
906	Kopere Healing
901	OKA
849	Laura Mvula
894	Little Georgia
877	Lloyd Spiegel
893	Lucy Gallant
502	The Lumineers
873	Madness
857	Mary J Blige
868	Max Jury
880	Melody Angel
106	Mavis Staples
436	Michael Kiwanuka
864	Miles Electric Band
870	The Mountain Goats
875	Mud Morganfield
637	Nahko and Medicine For The People
897	NAS & guests The Soul Rebels
884	Neil Finn
891	Nic Cester
588	Nikki Hill
844	Patti Smith and her Band perform Horses
865	Patti Smith and Band Acoustic
647	Ray Beadle & The Silver Dollars
665	Playing for Change
869	The Record Company
738	Rhiannon Giddens
887	Remi
852	Rickie Lee Jones
671	Round Mountain Girls
850	Roy Ayers
463	Santana
881	Sir Rosevelt
427	Slightly Stoopid
847	Snarky Puppy
607	The Soul Rebels
741	St. Paul & The Broken Bones
905	Tenzin Choegyal
855	The Strumbellas
860	The Suffers
872	Trevor Hall
126	Tony Joe White
325	Trombone Shorty & Orleans Avenue
854	Turin Brakes
886	Vasti Jackson
460	Vintage Trouble
888	The Wilson Pickers
896	Wouter Kellerman
902	Yirrmal
521	Zac Brown Band
